"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000056678"	"0.0613395615082148"	"0.710673387994525"	"1"
"ENSG00000082929"	"-0.0347782550029906"	"0.833521566195048"	"1"
"ENSG00000083622"	"0.137928294729131"	"0.402395874697236"	"1"
"ENSG00000093100"	"-0.237246963562753"	"0.145563619170622"	"1"
"ENSG00000099869"	"-0.254823441651729"	"0.117450093952914"	"1"
"ENSG00000103472"	"0.166801619433198"	"0.308940415730405"	"1"
"ENSG00000105501"	"0.458502024291498"	"0.00364432131053889"	"1"
"ENSG00000115934"	"-0.130161943319838"	"0.428251496779273"	"1"
"ENSG00000116652"	"0.0210526315789474"	"0.898765425489249"	"1"
"ENSG00000117242"	"-0.207894736842105"	"0.203370549507829"	"1"
"ENSG00000120664"	"-0.118623481781377"	"0.4705905730751"	"1"
"ENSG00000122043"	"-0.0668036909562139"	"0.686163164577746"	"1"
"ENSG00000122548"	"-0.0582995951417004"	"0.723649821446754"	"1"
"ENSG00000124835"	"-0.0880566801619433"	"0.59278299888184"	"1"
"ENSG00000124915"	"-0.12753036437247"	"0.437713795624413"	"1"
"ENSG00000125462"	"-0.0860323886639676"	"0.601346889824391"	"1"
"ENSG00000125514"	"-0.24264863825208"	"0.136649708232967"	"1"
"ENSG00000125804"	"-0.047165991902834"	"0.774969601139558"	"1"
"ENSG00000125899"	"0.0657894736842105"	"0.689776193224134"	"1"
"ENSG00000128254"	"0.0129554655870445"	"0.937788634695181"	"1"
"ENSG00000129816"	"-0.0834134292029759"	"0.613664378397386"	"1"
"ENSG00000129845"	"-0.0834134292029759"	"0.613664378397386"	"1"
"ENSG00000130600"	"0.1582995951417"	"0.334520075280603"	"1"
"ENSG00000131007"	"0.269253280269257"	"0.0974085067483578"	"1"
"ENSG00000131484"	"0.0552631578947368"	"0.737537743055289"	"1"
"ENSG00000131538"	"-0.128387490109649"	"0.436023841380656"	"1"
"ENSG00000131548"	"-0.128387490109649"	"0.436023841380656"	"1"
"ENSG00000132204"	"-0.0846153846153846"	"0.607373630898112"	"1"
"ENSG00000132832"	"-0.413967611336032"	"0.00927642317304778"	"1"
"ENSG00000136275"	"-0.0767359980963489"	"0.642425453947454"	"1"
"ENSG00000136315"	"0.258097165991903"	"0.112611268943306"	"1"
"ENSG00000137808"	"0.0403866592956112"	"0.807147032135875"	"1"
"ENSG00000145063"	"0.0109311740890688"	"0.947570732110858"	"1"
"ENSG00000145075"	"-0.122267206477733"	"0.456983814831674"	"1"
"ENSG00000146521"	"-0.171457489878543"	"0.295478690407015"	"1"
"ENSG00000146666"	"-0.25946808907479"	"0.110687070900848"	"1"
"ENSG00000147753"			
"ENSG00000147761"			
"ENSG00000149443"	"0.137997332183725"	"0.402158115200388"	"1"
"ENSG00000149656"	"-0.090080971659919"	"0.584273756638414"	"1"
"ENSG00000151303"	"-0.0769230769230769"	"0.640535184117454"	"1"
"ENSG00000152931"	"0.117408906882591"	"0.475173863880474"	"1"
"ENSG00000153363"	"-0.0941295546558704"	"0.567422842375665"	"1"
"ENSG00000157306"	"-0.131781376518219"	"0.422486390463239"	"1"
"ENSG00000161149"	"-0.180364372469636"	"0.27080278871107"	"1"
"ENSG00000162888"	"-0.253441295546559"	"0.119423126723805"	"1"
"ENSG00000162913"	"-0.0748987854251012"	"0.649382418794914"	"1"
"ENSG00000162947"	"0.0417004048582996"	"0.800531870699541"	"1"
"ENSG00000163081"			
"ENSG00000163364"	"-0.106882591093117"	"0.51587171788283"	"1"
"ENSG00000163597"	"0"	"1"	"1"
"ENSG00000163915"	"0.0562753036437247"	"0.732898943410191"	"1"
"ENSG00000164385"	"0.204089900923477"	"0.212676238492013"	"1"
"ENSG00000164621"	"-0.0297570850202429"	"0.8570812064694"	"1"
"ENSG00000165511"	"0.0925101214574899"	"0.574136083968741"	"1"
"ENSG00000166770"	"-0.278947368421053"	"0.0856848317001472"	"1"
"ENSG00000166917"	"-0.20748987854251"	"0.20426719579325"	"1"
"ENSG00000167046"	"0.257287449392713"	"0.113774124015236"	"1"
"ENSG00000167459"			
"ENSG00000167912"	"0.236842105263158"	"0.146267505748808"	"1"
"ENSG00000167920"	"-0.351821862348178"	"0.0286455941084143"	"1"
"ENSG00000168367"	"-0.0042500140690735"	"0.979514268883806"	"1"
"ENSG00000168746"	"-0.0514196063212293"	"0.755896856184572"	"1"
"ENSG00000170161"	"-0.12165991902834"	"0.459236611522438"	"1"
"ENSG00000170919"	"-0.0145748987854251"	"0.929969438793949"	"1"
"ENSG00000170983"	"0.172965018159526"	"0.292348053090728"	"1"
"ENSG00000171671"	"-0.00506072874493927"	"0.975977073639586"	"1"
"ENSG00000171889"	"-0.0506072874493927"	"0.758993499859088"	"1"
"ENSG00000171987"	"-0.0376518218623482"	"0.819603010362611"	"1"
"ENSG00000172460"	"-0.295546558704453"	"0.0680887166295352"	"1"
"ENSG00000172965"	"-0.0973684210526316"	"0.554106845916671"	"1"
"ENSG00000173077"	"0.22914979757085"	"0.160124971554523"	"1"
"ENSG00000173811"	"-0.00607287449392713"	"0.971076342412014"	"1"
"ENSG00000173862"	"-0.0937246963562753"	"0.569097730807229"	"1"
"ENSG00000174171"	"-0.0728744939271255"	"0.658277874447156"	"1"
"ENSG00000174325"	"0.15564306310003"	"0.34407235204161"	"1"
"ENSG00000174365"	"-0.14251012145749"	"0.385422088116876"	"1"
"ENSG00000174403"	"-0.0562753036437247"	"0.732898943410191"	"1"
"ENSG00000174407"	"0.10080971659919"	"0.540123213411631"	"1"
"ENSG00000174680"	"0.0196356275303644"	"0.905579991920925"	"1"
"ENSG00000175061"	"-0.165182186234818"	"0.313713414396344"	"1"
"ENSG00000175147"	"-0.0908906882591093"	"0.580885566248254"	"1"
"ENSG00000175170"	"-0.0273279352226721"	"0.868680158283683"	"1"
"ENSG00000175604"	"0.0380566801619433"	"0.817691038116803"	"1"
"ENSG00000175611"	"-0.109919028340081"	"0.503954903431117"	"1"
"ENSG00000175728"	"-0.111740890688259"	"0.496873053051619"	"1"
"ENSG00000175746"	"0.0297570850202429"	"0.8570812064694"	"1"
"ENSG00000175772"	"-0.017004048582996"	"0.91825315566859"	"1"
"ENSG00000175773"	"-0.0722672064777328"	"0.660955755804593"	"1"
"ENSG00000175779"	"0.00951417004048583"	"0.954422849754042"	"1"
"ENSG00000175967"	"-0.141302697685898"	"0.390869506900292"	"1"
"ENSG00000176124"	"-0.00445344129554656"	"0.9789179461042"	"1"
"ENSG00000176236"	"-0.108704453441296"	"0.508704662394333"	"1"
"ENSG00000176320"	"-0.0248987854251012"	"0.880306585508899"	"1"
"ENSG00000176349"	"0.0311740890688259"	"0.850328786886845"	"1"
"ENSG00000176515"	"0.158214270489482"	"0.336060478592675"	"1"
"ENSG00000176593"	"0.00647773279352227"	"0.969116336404342"	"1"
"ENSG00000176605"			
"ENSG00000176659"	"0.216801619433198"	"0.184342477462654"	"1"
"ENSG00000176728"	"0.098582995951417"	"0.549151881943994"	"1"
"ENSG00000176753"	"0.176113360323887"	"0.282403650896971"	"1"
"ENSG00000176754"	"-0.1700927483013"	"0.300558439888306"	"1"
"ENSG00000176840"	"-0.209311740890688"	"0.200254164498754"	"1"
"ENSG00000176868"	"-0.108906882591093"	"0.507911459105244"	"1"
"ENSG00000176912"	"-0.253036437246964"	"0.120029922392459"	"1"
"ENSG00000176984"	"0.067004048582996"	"0.684337484551667"	"1"
"ENSG00000177112"	"0.240485829959514"	"0.140022720775057"	"1"
"ENSG00000177133"	"0.0180161943319838"	"0.913376304471746"	"1"
"ENSG00000177234"	"-0.129910064122382"	"0.430555577443743"	"1"
"ENSG00000177335"	"0.0115384615384615"	"0.94463523242652"	"1"
"ENSG00000177337"	"-0.167408906882591"	"0.307162603167342"	"1"
"ENSG00000177338"	"-0.108709955096457"	"0.510048622407919"	"1"
"ENSG00000177340"	"-0.0647773279352227"	"0.694320366368689"	"1"
"ENSG00000177369"	"-0.0251012145748988"	"0.879336725552902"	"1"
"ENSG00000177406"	"0.0163967611336032"	"0.921180710369627"	"1"
"ENSG00000177410"	"-0.0947368421052632"	"0.564914810867923"	"1"
"ENSG00000177553"	"0.0107287449392713"	"0.948549387341594"	"1"
"ENSG00000177596"	"0.35080971659919"	"0.0291312773330664"	"1"
"ENSG00000177640"	"0.058502024291498"	"0.722727032996049"	"1"
"ENSG00000177699"	"0.286842105263158"	"0.0769177562442363"	"1"
"ENSG00000177725"	"0.0421052631578947"	"0.79863088856332"	"1"
"ENSG00000177738"	"-0.167206477732794"	"0.307754476241834"	"1"
"ENSG00000177757"	"0.154655870445344"	"0.345876340224467"	"1"
"ENSG00000177788"	"0.102429149797571"	"0.53360246958817"	"1"
"ENSG00000177800"	"-0.0271255060728745"	"0.86964801076591"	"1"
"ENSG00000177822"	"0.233198380566802"	"0.152716395311301"	"1"
"ENSG00000177993"	"0.0101214574898785"	"0.95148579904505"	"1"
"ENSG00000178107"	"-0.106959483283077"	"0.516925097197983"	"1"
"ENSG00000178130"			
"ENSG00000178243"	"-0.0356930378559724"	"0.829206549047254"	"1"
"ENSG00000178248"	"-0.184177624668369"	"0.261691673581069"	"1"
"ENSG00000178412"	"0.171940079932053"	"0.295261101593141"	"1"
"ENSG00000178457"	"-0.12288071274404"	"0.456118383576144"	"1"
"ENSG00000178722"	"-0.0261133603238866"	"0.874490086910545"	"1"
"ENSG00000178734"	"-0.226720647773279"	"0.164694607567845"	"1"
"ENSG00000178803"	"-0.150202429149798"	"0.360075371977246"	"1"
"ENSG00000178977"	"-0.159919028340081"	"0.329548524774739"	"1"
"ENSG00000179028"	"0.237246963562753"	"0.145563619170621"	"1"
"ENSG00000179066"	"0.0117408906882591"	"0.943656892626627"	"1"
"ENSG00000179082"	"0.0765182186234818"	"0.642300722990351"	"1"
"ENSG00000179136"	"-0.00121457489878542"	"0.994606347518237"	"1"
"ENSG00000179141"	"0.241497975708502"	"0.138323851736246"	"1"
"ENSG00000179219"	"-0.0878542510121458"	"0.593636944007221"	"1"
"ENSG00000179253"	"-0.189271255060729"	"0.247535603942438"	"1"
"ENSG00000179406"	"-0.0983805668016194"	"0.549976235193597"	"1"
"ENSG00000179428"	"0.12914979757085"	"0.431877108323296"	"1"
"ENSG00000179447"	"0.303238866396761"	"0.0609758173137872"	"1"
"ENSG00000179452"	"0.0914603611577812"	"0.579750430895463"	"1"
"ENSG00000179523"	"-0.0653846153846154"	"0.691592571655175"	"1"
"ENSG00000179577"	"-0.0896761133603239"	"0.585971189136652"	"1"
"ENSG00000179676"	"-0.144137156313684"	"0.381337823254401"	"1"
"ENSG00000179743"	"-0.133400809716599"	"0.416765627741873"	"1"
"ENSG00000179755"			
"ENSG00000179818"	"-0.0811740890688259"	"0.622117570355774"	"1"
"ENSG00000179840"	"0.263967611336032"	"0.104450105628981"	"1"
"ENSG00000179935"	"0.102024291497976"	"0.535229032070771"	"1"
"ENSG00000180066"	"0.275443073282242"	"0.0896622131473354"	"1"
"ENSG00000180139"	"0.0593117408906883"	"0.719039800511687"	"1"
"ENSG00000180259"			
"ENSG00000180422"	"0.0362348178137652"	"0.826303038044367"	"1"
"ENSG00000180458"	"-0.044331983805668"	"0.788196448136045"	"1"
"ENSG00000180525"	"-0.0121457489878543"	"0.941700461731701"	"1"
"ENSG00000180539"	"-0.125910931174089"	"0.443594223476751"	"1"
"ENSG00000180712"	"-0.175506072874494"	"0.284087176762677"	"1"
"ENSG00000180769"	"0.0242914979757085"	"0.883217204793984"	"1"
"ENSG00000180846"	"-0.0161943319838057"	"0.922156794104289"	"1"
"ENSG00000180861"	"-0.21988257182827"	"0.178619357004009"	"1"
"ENSG00000180869"	"0.215991902834008"	"0.186017547805729"	"1"
"ENSG00000181097"	"-0.169433198380567"	"0.301284087142914"	"1"
"ENSG00000181123"	"-0.0965587044534413"	"0.557421898786727"	"1"
