"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000056678"	"0.28775787275959"	"0.0756726711691731"	"0.140988482892956"
"ENSG00000082929"	"0.253485823636958"	"0.11945428202757"	"0.204054992918759"
"ENSG00000083622"	"0.16341618493383"	"0.32020680255648"	"0.442369797605972"
"ENSG00000093100"	"0.519433198380567"	"0.000830402184258204"	"0.00319101744107117"
"ENSG00000099869"	"-0.0587575808932616"	"0.72235766133503"	"0.80436785477143"
"ENSG00000103472"	"0.376315789473684"	"0.0187919435452135"	"0.0433946027299513"
"ENSG00000105501"	"-0.163765182186235"	"0.317928156009674"	"0.439846119300325"
"ENSG00000115934"	"0.580161943319838"	"0.000143800929423901"	"0.000811398481000562"
"ENSG00000116652"	"0.304655870445344"	"0.059733009318084"	"0.115845836253254"
"ENSG00000117242"	"0.524898785425101"	"0.000717988071814014"	"0.00284239303433774"
"ENSG00000120664"	"0.472267206477733"	"0.00266597779004838"	"0.00830141844515198"
"ENSG00000122043"	"0.0366605621101174"	"0.824648123633518"	"0.88111330412473"
"ENSG00000122548"	"0.641902834008097"	"1.69752245570817e-05"	"0.00018418079222175"
"ENSG00000124835"	"0.27246963562753"	"0.0934466489028245"	"0.167388522227588"
"ENSG00000124915"	"0.753643724696356"	"2.79450518596583e-07"	"4.09634681324004e-05"
"ENSG00000125462"	"0.524089068825911"	"0.000733733303094292"	"0.00289087703833406"
"ENSG00000125514"	"-0.365555448497156"	"0.0221106343511152"	"0.0498845294999084"
"ENSG00000125804"	"0.551214574898785"	"0.000344868590727463"	"0.00159086300935891"
"ENSG00000125899"	"0.652024291497976"	"1.15352277624764e-05"	"0.000145261721717987"
"ENSG00000128254"	"0.60668016194332"	"6.02136161251037e-05"	"0.000429231026146604"
"ENSG00000129816"	"0.0445896672237106"	"0.787516864990562"	"0.854970208029908"
"ENSG00000129845"	"0.0445896672237106"	"0.787516864990562"	"0.854970208029908"
"ENSG00000130600"	"-0.237854251012146"	"0.144512504672519"	"0.23778348307037"
"ENSG00000131007"	"0.246639386243503"	"0.130116635345184"	"0.219301919311941"
"ENSG00000131484"	"0.476518218623482"	"0.00241479121254793"	"0.00764563875374351"
"ENSG00000131538"	"0.0215260462459293"	"0.896510011894348"	"0.931563270221608"
"ENSG00000131548"	"0.0215260462459293"	"0.896510011894348"	"0.931563270221608"
"ENSG00000132204"	"0.543927125506073"	"0.000424903239642454"	"0.00187384173646361"
"ENSG00000132832"	"0.214372469635628"	"0.189400335882322"	"0.294566700812987"
"ENSG00000136275"	"0.416160836236813"	"0.00841134084121445"	"0.0218807262862772"
"ENSG00000136315"	"-0.430971659919028"	"0.00658028927406784"	"0.0178055782974893"
"ENSG00000137808"	"-0.11660509150011"	"0.479614055382027"	"0.59849275286988"
"ENSG00000145063"	"0.634412955465587"	"2.24542578439001e-05"	"0.000220391371106515"
"ENSG00000145075"	"0.244736842105263"	"0.132990828655537"	"0.222400350691317"
"ENSG00000146521"	"0.67834008097166"	"4.08249606209131e-06"	"8.21422118953086e-05"
"ENSG00000146666"	"-0.265348960183168"	"0.102552043384026"	"0.180760260578801"
"ENSG00000147753"			
"ENSG00000147761"			
"ENSG00000149443"	"-0.0480492103703778"	"0.771455036704473"	"0.840972031238811"
"ENSG00000149656"	"0.614372469635628"	"4.61636651489834e-05"	"0.000358266849794104"
"ENSG00000151303"	"0.726923076923077"	"6.41564520815222e-07"	"4.36342175503866e-05"
"ENSG00000152931"	"0.678947368421053"	"3.98449568805852e-06"	"8.10782397848842e-05"
"ENSG00000153363"	"0.623886639676113"	"3.29554290420494e-05"	"0.000283170117617025"
"ENSG00000157306"	"0.726720647773279"	"6.45995315760173e-07"	"4.36342175503866e-05"
"ENSG00000161149"	"0.415991902834008"	"0.00891223888808325"	"0.02300186724402"
"ENSG00000162888"	"-0.139271255060729"	"0.396402818149994"	"0.518504386134938"
"ENSG00000162913"	"0.746761133603239"	"3.41823147838777e-07"	"4.17947670346221e-05"
"ENSG00000162947"	"0.393117408906883"	"0.0138373565587968"	"0.0333719439617482"
"ENSG00000163081"			
"ENSG00000163364"	"0.447570850202429"	"0.00463266974941721"	"0.0132540312732867"
"ENSG00000163597"	"0.239878542510121"	"0.141049478916877"	"0.2332353526933"
"ENSG00000163915"	"0.627327935222672"	"2.91064942159991e-05"	"0.000260908559050552"
"ENSG00000164385"	"-0.194978744632251"	"0.234249703764204"	"0.348184848557636"
"ENSG00000164621"	"0.184817813765182"	"0.258993777400477"	"0.37636669611665"
"ENSG00000165511"	"0.587651821862348"	"0.000113242857858394"	"0.000680039372640639"
"ENSG00000166770"	"0.416801619433198"	"0.00877005654005769"	"0.0227051447163635"
"ENSG00000166917"	"0.604655870445344"	"6.45098399299557e-05"	"0.000451182593043043"
"ENSG00000167046"	"0.631983805668016"	"2.45574410389954e-05"	"0.000233290696490822"
"ENSG00000167459"			
"ENSG00000167912"	"0.458097165991903"	"0.00367732816868272"	"0.0108916427057726"
"ENSG00000167920"	"0.459514170040486"	"0.00356293821269167"	"0.0105863948929633"
"ENSG00000168367"	"0.190153855284031"	"0.246256107401517"	"0.362570444277035"
"ENSG00000168746"	"0.419049547578522"	"0.0079245156470376"	"0.0208219212055849"
"ENSG00000170161"	"0.202226720647773"	"0.216177878737273"	"0.327215398645934"
"ENSG00000170919"	"0.204655870445344"	"0.210621808050898"	"0.320592000786406"
"ENSG00000170983"	"-0.158551266646232"	"0.335019002816224"	"0.456915221029133"
"ENSG00000171671"	"0.707287449392712"	"1.3041196020503e-06"	"5.13372342588433e-05"
