""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"A1BG"	110.647316550574	0.743414133191221	0.179778584192797	4.13516513398488	3.54699485251685e-05	0.000134790045521411
"A1CF"	1.04382528777795	2.28756365509745	1.47675657313058	1.54904585950008	0.121370696292825	0.198764840914453
"A2M"	201289.971999436	0.653742450456874	0.116848535349741	5.59478515070938	2.20895140554621e-08	1.52783802511283e-07
"A2ML1"	10.762621755493	4.26879510115881	0.617862997434759	6.90896706694199	4.8819526594234e-12	5.94849554393258e-11
"A3GALT2"	1.30321490166497	-0.334550836999475	0.46294275504147	-0.722661351443995	0.469887965615924	0.602413178454354
"A4GALT"	721.062064844767	0.697844550337197	0.144871477239478	4.81699064325571	1.45739519718857e-06	7.28468388340467e-06
"A4GNT"	1.43228369116985	-0.708969718162793	0.579031699796093	-1.2244057076883	0.220799217228228	0.328221100196841
"AAAS"	1379.92168829856	0.0871423955715731	0.0824828702450894	1.05649082424797	0.290744030764702	0.410772610406172
"AACS"	805.997513711513	-0.490683455043429	0.0899708308253987	-5.45380597846952	4.93029955316765e-08	3.22192879298677e-07
"AADAC"	207.32939738104	0.251289488551179	0.317321283825657	0.791908710066996	0.428413907892201	0.560470966629828
"AADACL2"	10.7658334498907	2.86703187668512	0.611570338426325	4.68798386145162	2.75909770762825e-06	1.30846143215029e-05
"AADACL3"	0.384150264299316	1.37203544795742	2.51845804609145	0.544791861864353	0.585896676458515	0.712211622578404
"AADACL4"	1.57431683763866	1.05094382292777	0.623986524887221	1.68424121517322	0.09213506098395	0.157205035603341
"AADAT"	245.377682709197	-0.315977961379464	0.1183428224228	-2.67002218563436	0.00758462353342861	0.0177157258891414
"AAGAB"	1167.88651945852	-0.0457082933617997	0.0659667453114707	-0.692899022772488	0.48837292300099	0.620893610821113
"AAK1"	2081.56047301156	0.0171235624743202	0.0493435246066731	0.347027550439809	0.728570621168964	0.833820260177107
"AAMDC"	457.650323918096	-0.0369146051708592	0.133597245508566	-0.276312621793481	0.782307962363	0.876179404105488
"AAMP"	2203.50780701477	-0.0952922400939165	0.0441553535244307	-2.15811294639941	0.0309190514317748	0.0612948738696864
"AANAT"	0.776306428240196	0.262227634117079	0.595145395433061	0.44061104417395	0.659494606016552	0.775524336589148
"AAR2"	1170.91990403916	-0.104983724229764	0.0458066223127631	-2.29188966418317	0.021912010835675	0.0453483975065647
"AARD"	77.3851681224992	-0.816934317614278	0.318870957816373	-2.56195899183996	0.0104083607381119	0.0235023127193672
"AARS1"	3694.20067107439	-0.62159952654976	0.0963067109563646	-6.45437395148298	1.08667179626613e-10	1.07310950196784e-09
"AARS2"	563.641910104451	0.033208206655147	0.0631665496129072	0.525724562425069	0.599079595224469	0.724082449219458
"AARSD1"	745.840331654456	0.246059137198099	0.10644586128996	2.31158951805398	0.0208003148217138	0.0432683760592626
"AASDH"	433.855720977128	-0.0995968102781779	0.0608250735839931	-1.63743016505595	0.101540619618581	0.170838016190817
"AASDHPPT"	779.534852509332	-0.140007828709808	0.0740804424114523	-1.88994320433707	0.0587655564643676	0.106937722704364
"AASS"	1190.11612275257	-0.903065331718659	0.127670897804346	-7.07338435970425	1.51199930297074e-12	1.97211454913468e-11
"AATF"	1294.57931235412	-0.106587391859445	0.0548230315585231	-1.9442082794284	0.0518703397784457	0.0960679399024068
"AATK"	782.359457530249	-1.60577513136088	0.195689479305339	-8.20573051275462	2.29192990277679e-16	4.98913371187791e-15
"ABAT"	520.199461455041	-0.105673567903207	0.132241532476799	-0.799095155084858	0.424235238744611	0.556531491993739
"ABCA1"	2800.37512085408	-0.22234891173873	0.185985539275609	-1.19551720313714	0.231885018984504	0.341743212536943
"ABCA10"	896.086342631212	1.05250739408154	0.207600895320832	5.06985960949235	3.98109253678266e-07	2.2081283764953e-06
"ABCA12"	60.6179788576048	4.01135879453328	0.493512561488501	8.12817972137219	4.35784784662779e-16	9.16205078140521e-15
"ABCA13"	420.783173005484	1.21337403355768	0.454587060959358	2.66917855294206	0.00760370166937208	0.0177558350735546
"ABCA2"	1755.0738791659	0.573882149368082	0.0742198271888799	7.73219463186873	1.05708160750506e-14	1.84254928459908e-13
"ABCA3"	11471.3989078808	-1.68337648872223	0.267568442588725	-6.29138650446055	3.14642823137174e-10	2.87215126587016e-09
"ABCA4"	61.1027230528124	1.03228144756333	0.170132327057347	6.06752088458398	1.29899730867809e-09	1.08168470214771e-08
"ABCA5"	1211.47737792876	-0.106372488706233	0.0968702893405933	-1.09809198909513	0.272164323058354	0.389661496839083
"ABCA6"	2292.05746961632	-0.457623021362827	0.171215610949536	-2.67278794745945	0.00752237845387824	0.0175832599579559
"ABCA7"	1658.56694586171	0.228950036724549	0.129388991086905	1.7694707625533	0.0768153457744586	0.134582123169161
"ABCA8"	2822.59002379467	0.343264928950242	0.15502283005084	2.2142863011704	0.0268090903690517	0.0540575810772388
"ABCA9"	1643.56258980255	-0.0260753889269052	0.203141058118301	-0.12836099786248	0.897863294968058	0.947813604753085
"ABCB1"	523.822965997562	1.05721908124608	0.211941057739089	4.98826934490237	6.09225915998056e-07	3.27525486105637e-06
"ABCB10"	483.7427471142	-0.317631247086595	0.0867787801598376	-3.66024097713232	0.000251978161788874	0.000805457668838395
"ABCB11"	2.63557824866575	1.65732280595213	0.450878655313149	3.67576239509734	0.000237140159260585	0.000762053538412553
"ABCB4"	37.1805387721724	2.78041340228493	0.217007670219777	12.8125121083003	1.3954265220622e-37	4.29183683051679e-35
"ABCB5"	11.8786190659529	1.13677709469534	0.424181404789104	2.6799314676713	0.0073637234481284	0.017252591526276
"ABCB6"	724.973805939582	-0.439161548937339	0.125250131859259	-3.50627614053784	0.000454423506419566	0.00138050053272498
"ABCB7"	644.188765405122	-0.272577036999201	0.0526929590318366	-5.17293091918624	2.30450231488899e-07	1.33814112797254e-06
"ABCB8"	1088.78062266229	0.0585565477996815	0.0693196908510666	0.844731808246091	0.398260595697701	0.529450034813125
"ABCB9"	179.794332458247	0.800020017702798	0.09600114927878	8.33344208598588	7.85252726151203e-17	1.82609563841186e-15
"ABCC1"	2294.00884475695	-0.290396649036108	0.0621406196106021	-4.67321778984261	2.9651704424945e-06	1.39577475112139e-05
"ABCC10"	970.667062465737	0.0166312545112491	0.0824481951228158	0.201717629918702	0.840137479229349	0.916928891450576
"ABCC11"	4.11557095122894	-0.0904722971130957	0.311402821207113	-0.290531398406705	0.771409733677652	0.867942618458914
"ABCC12"	2.73585284555542	0.315500328054711	0.408112675536072	0.773071622047242	0.439479994585098	0.572278340394921
"ABCC2"	73.2834017904379	-0.498703734832066	0.121013096140218	-4.12107243545126	3.77112823472006e-05	0.0001426818339442
"ABCC3"	2790.19883735302	0.193339614952029	0.173636579886726	1.11347283549444	0.265505408671132	0.382625862452034
"ABCC4"	1183.16160158561	-0.907800815886981	0.121368918923471	-7.47968115674981	7.45031458139225e-14	1.15975550002097e-12
"ABCC5"	2374.10642989032	0.628517789830542	0.113772233512954	5.5243513326912	3.30705120915201e-08	2.21540978946013e-07
"ABCC6"	685.909363433497	-0.957504270665423	0.190435648459236	-5.02796760171917	4.95705599393536e-07	2.70615805177078e-06
"ABCC8"	432.994237237529	-3.28814272477769	0.410961661180124	-8.00109361864903	1.23318980082182e-15	2.43647410728532e-14
"ABCC9"	1619.47165151183	0.396988900927784	0.111244337932603	3.56862118383318	0.000358864858412811	0.00111289542772384
"ABCD1"	455.014351338997	0.119179822324604	0.103276155734595	1.1539916593224	0.248503588445655	0.361872083090508
"ABCD2"	45.6550321520429	1.66454207926987	0.245201880401496	6.78845560459949	1.1334024502214e-11	1.30041223365053e-10
"ABCD3"	1426.96264934197	-0.450820978950787	0.0983920249345632	-4.58188536368279	4.60802493130373e-06	2.08371893324711e-05
"ABCD4"	1774.74132274244	0.156632940963747	0.0668391590575347	2.34343075485014	0.0191073086938971	0.0401274525863352
"ABCE1"	1422.98617968101	-0.0740216769029848	0.105321709220098	-0.702814998456742	0.482171049003703	0.614606934054252
"ABCF1"	2153.75682479819	-0.0974523007408318	0.0663837022913049	-1.46801545224446	0.1421000256148	0.226920977859782
"ABCF2"	1449.06940678887	-0.0521135410275273	0.0801438706364033	-0.650249864571129	0.51553083601897	0.646924026852181
"ABCF3"	1448.38780048413	-0.0910789267670618	0.0619949994305508	-1.46913343985255	0.141796599291117	0.226458907192823
"ABCG1"	1203.78474783982	-0.411195182101068	0.128110149436641	-3.20970027674843	0.00132873444471852	0.00365939299918219
"ABCG2"	256.977446183431	0.0987706775399487	0.144545128542388	0.68332069393113	0.49440422061384	0.626432199917961
"ABCG4"	22.2017896417343	1.47410974418229	0.222477896239878	6.6258705655545	3.45207561744381e-11	3.6816347846217e-10
"ABCG5"	0.325984740244928	0.86180330433314	1.65149534153314	0.521832113394338	0.601787228290915	0.726362061804965
"ABCG8"	0.829363065978437	0.250151757720251	0.604260554929875	0.413979955632353	0.678888786495058	0.792466348535398
"ABHD1"	13.5593909630916	0.76186800070433	0.203548948294916	3.7429228059704	0.000181892120091949	0.000598120510093702
"ABHD10"	605.965207122535	0.10394082406771	0.070724542620258	1.46965706976432	0.141654655291247	0.226270114068419
"ABHD11"	551.345385235383	0.122586975508418	0.134956936047961	0.908341424295916	0.363697862963439	0.49218327647788
