""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"ABC transporters"	41	3.132	0.41742	1	-2.3933	0.6699	0.96626	21.55	0.014767	0.032659	23	16.167	0.049123	0.14042	18	14.248	0.091698	0.1943
"2"	"AGE-RAGE signaling pathway in diabetic complications"	98	3.188	0.54937	1	-2.0294	0.59077	0.93351	33.237	0.00057469	0.0025608	52	24.699	0.0076456	0.030086	46	22.252	0.024851	0.092961
"3"	"AMPK signaling pathway"	115	-10.277	0.99994	1	21.674	7.5108e-08	2.5286e-06	33.794	0.0017428	0.0056782	48	16.975	0.45687	0.65608	67	29.906	0.00018295	0.0042199
"4"	"Acute myeloid leukemia"	64	-5.94	0.99009	1	9.3749	0.011718	0.064554	22.818	0.097573	0.15981	30	11.722	0.65648	0.81001	34	20.296	0.014852	0.06338
"5"	"Adherens junction"	71	-10.521	0.99983	1	15.554	0.00011069	0.0014583	28.37	0.0020427	0.006515	29	13.317	0.43603	0.63825	42	25.82	0.00021844	0.0042199
"6"	"Adipocytokine signaling pathway"	68	-6.7315	0.99615	1	13.147	0.00049141	0.0049632	28.66	0.0013012	0.0045429	28	16.343	0.10455	0.2382	40	23.694	0.0025111	0.021182
"7"	"Adrenergic signaling in cardiomyocytes"	140	8.0051	0.16114	0.62597	-2.8214	0.64539	0.96626	40.167	1.5767e-05	0.00015411	78	31.912	0.00015323	0.0015477	62	24.565	0.036367	0.11244
"8"	"African trypanosomiasis"	30	9.6853	0.019614	0.1415	-8.9042	0.973	1	16.257	0.12148	0.18974	22	14.456	0.13224	0.2862	8	7.5095	0.43898	0.57087
"9"	"Alanine, aspartate and glutamate metabolism"	32	2.8768	0.42125	1	-0.56808	0.50067	0.84751	17.261	0.090083	0.14997	19	12.615	0.2152	0.39281	13	11.831	0.15325	0.26997
"10"	"Alcoholism"	100	13.524	0.004059	0.0417	-9.5708	0.97411	1	29.787	0.020024	0.041843	66	25.743	0.016439	0.057254	34	15.218	0.40054	0.5323
"11"	"Aldosterone synthesis and secretion"	93	13.628	0.0045292	0.042886	-11.242	0.98852	1	33.678	7.3358e-05	0.00056994	58	29.669	5.4312e-05	0.00068568	35	16.705	0.24434	0.36833
"12"	"Aldosterone-regulated sodium reabsorption"	36	-2.4587	0.89368	1	4.7102	0.12277	0.34891	21.836	0.0039921	0.011305	15	15.133	0.020879	0.069969	21	15.8	0.047669	0.13173
"13"	"Allograft rejection"	16	9.7391	0.01453	0.11586	-9.4412	0.98093	1	9.6506	0.46323	0.54403	15	9.2144	0.49174	0.69625	1	2.9152	0.45018	0.58293
"14"	"Alzheimer disease"	147	-2.1546	0.96736	1	4.1787	0.097541	0.28975	30.54	0.21414	0.29096	65	21.477	0.23478	0.42093	82	21.769	0.63635	0.75374
"15"	"Amino sugar and nucleotide sugar metabolism"	44	-7.6528	0.99732	1	7.6528	0.027866	0.1141	15.4	0.50941	0.59138	14	7.4272	0.68271	0.83412	30	13.577	0.52772	0.65384
"16"	"Aminoacyl-tRNA biosynthesis"	25	-7.3086	0.99135	1	7.3086	0.047168	0.17429	6.8565	0.94302	0.98632	5	0.40526	0.9482	0.99703	20	7.4632	0.91457	0.94902
"17"	"Amoebiasis"	85	6.6448	0.2032	0.72109	-2.3039	0.61321	0.93747	33.68	2.2696e-05	0.00020226	49	25.901	0.00098822	0.0065804	36	21.535	0.0076906	0.042368
"18"	"Amphetamine addiction"	65	17.19	0.00012432	0.0031392	-14.286	0.99855	1	26.85	0.0059109	0.015705	48	24.68	0.0041877	0.01866	17	11.031	0.37994	0.51393
